slippery as an eel;aalglatt
suburbia, suburb;Vorstadt (f., ¨-e)
director, board, steering committee;Vorstand (m., ¨-e)
manage, direct, govern, protrude;vorstehen
protruding, aforementioned;vorstehend
prostrate gland;Vorsteherdrüse (f., -n)
imagine, visualize, present;vorstellen
advantage, profit (n.);Vorteil (m., -e)
advantageous, profitable;vorteilhaft
admirable, noble, excellent;vortrefflich
pass by;vorüberfahren an etwas
passing;vorüberfahrend
walk by, pass by;vorübergehen an etwas
temporary, passing, transitory;vorübergehend
bias;Vorurteil (n., -e)
forward;vorwärts
blame for, charge with;vorwerfen
predominantly, principally;vorwiegend
theme, subject, reproach;Vorwurf (m., ¨-e)
premature, before its time;vorzeitig
prefer, choose;vorziehen
preference, advantage, merit, priority;Vorzug (m., ¨-e)
superior, excellent, exquisite;vorzüglich
awake;wach
sentry, guard, watch (n.);Wache (f., --)
watch, guard, wake;wachen
keep alive;wachhalten
call to mind, remind s.o. of;wachrufen
grow;wachsen (wächst, wuchs, gewachsen)
rate of growth or expansion;Wachstumrate (f., -n)
unsteady, wobbly, shaky;wackelig
wobble, teeter, totter, bounce;wackeln
calf (anat.);Wade (f., -n)
weapon, arm;Waffe (f., -n)
bold, daring;wagemutig
weigh, balance;wägen (wägt, wog, gewogen)
dare;wagen sich
choice, election;Wahl (f., -en)
choose, elect;wählen
elective, optional;wahlfrei
haphazard, random, indiscriminate;wahllos
electoral college;Wahlmänner-Gremium (n.)
delusion;Wahn (m.)
fancy, believe;wähnen
insane, lunatic;wahnsinnig
last, continue;währen
while, during;während
disavow, refuse to believe;wahrhaben, nicht wollen
truthful, veracious;wahrhaft
truth;Wahrheit (m., -en)
truly, verily;wahrlich
discernible, noticeable, perceptible;wahrnehmbar
perceive, observe;wahrnehmen
probably;wahrscheinlich
currency;Währung (f., -en)
orphan;Waise (f., -n)
orphanage;Waisenhaus (n., ¨-er)
whale, cetacean;Wal (m., -e)
rule, assume the duties of;walten
roll, turn about;wälzen
wall;Wand (f., ¨-e)
hike, roam, wander;wandern
fickle, weak-minded, capricious;wankelmütig
waver, flinch, falter;wanken
when;wann
paunch (pejorative);Wanst (m.)
procure weapons, arm, forearm;wappnen
warn, caution;warnen
what kind of;was für ein
What's that to me?;Was geht das mich an? 
What's the matter?;Was ist denn los? 
What's up?;Was ist los? 
What would you like?;Was soll/darf es sein? 
racoon;Waschbär (m., -en)
wash;waschen (wäscht, wusch, gewaschen)
watershed;Wasserscheide (f., -n)
wade;waten
waddle;watscheln
weave;weben
vicissitudes;Wechselfälle (pl.)
exchange rate;Wechselkurs (m., -e)
interaction, reciprocity, interdependence;Wechselwirkung (f., -en)
waken;wecken
neither ... nor;weder ... noch
away;weg
because of;wegen
drop out, cease to exist or apply;wegfallen
get away, get lost, scram;wegkommen
omit, leave out;weglassen
tuck away;wegschließen
throw away, discard;wegwerfen
wipe off, dust off;wegwischen
wistful;wehmutig
weapon, defense;Wehr (f., -en)
dam, weir (n.);Wehr (n., -e)
defend, resist;wehren
weak, soft, tender, mellow;weich
yield, give way;weichen (weicht, wich, gewichen)
rangeland, pasture, grange, grasslands;Weideland (n., ¨-e)
browse, graze;weiden
wicker;Weiden-
refuse, decline;weigern
resist;weigern sich
bless, consecrate, ordain;weihen
because;weil
vineyard;Weinberg (m., -e)
cry;weinen
crying fit;Weinkrämpf (m., -e)
way, manner;Weise (f., -n)
wise man;Weise (m., -n)
point out, show;weisen (weist, wies, gewiesen)
wisdom;Weisheit (f.)
presage, divine, prophesy, predict, forebode;weissagen
long winded;weit schweifend
much, by far;weitaus
vastness, expanse, scope, range, width;Weite (f.)
flee, take to one's heels;Weite, das … suchen
further;weiter
furthermore, again in the future;weiterhin
expansive, far-reaching, extensive;weitreichend
long-winded;weitschweifig
wheat;Weizen (n., --)
withered, faded, wrinkled;welk
wilt;welken
universe;Weltall (n.)
world's fair;Weltausstellung (f., -en)
world trade, international commerce;Welthandel (m.)
global power;Weltmacht (f., ¨-e)
whom;wem, wen
turn of events, turning point, pivotal event;Wende (f., -n)
turn, wind;wenden
maneuverable, nimble, agile;wendig
at least;wenigstens
if and when (uncertain);wenn
if so;wenn ja
although;wenngleich
advertise, woo, solicit, recruit;werben (wirbt, warb, geworben)
development (personal), career;Werdegang (m., ¨-e)
become;werden (wird, wurde, geworden)
throw, fling;werfen (wirft, warf, geworfen)
plant, mill, factory;Werk (n., -e)
worth, value, price;Wert (m.)
valuables, articles of value;Wertsache (pl.)
valuable, prized, worthwhile;wertvoll
essence, character;Wesen (n.)
essential, material;wesentlich
whose;wessen
contest, competition;Wettbewerb (m.)
bet, wager;wetten
fulminate, grumble, argue;wettern
change in the weather;Wetterwechsel (m.)
contest, tournament, match, competition;Wettkampf (m., ¨-e)
contestant, competitor, athlete;Wettkämpfer (m., --)
compensate, make up for;wettmachen
arm's race;Wettrüsten (n.)
roll, swaddle, curl, wrap up;wickeln
sickening, disgusting, nauseating, repulsive;widerlich
withdraw, revoke, take back, recant;widerrufen
reflect, mirror sth.;widerspiegeln
veto, contradict, object;widersprechen
contradiction;Widerspruch (m., ¨-e)
resistance, opposition;Widerstand (m., ¨-e)
reluctant, unwilling, grudging;widerwillig
devote, dedicate, pay;widmen
adverse, hostile;widrig
go like clockwork;wie am Schnürchen laufen
such as;wie etwa
as follows;wie folgt
How are you? formal;Wie geht es Ihnen? 
How are you informal;Wie geht's? 
What is your name?;Wie heißen Sie? 
What a shame!;Wie schade! 
as you see fit, at your discretion;wie Sie es für richtig hälten
rebuild, reconstruct;wieder aufbauen
rebuilding (n.);Wiederaufbau (m.)
reprocess;wiederaufbereiten
rebirth, reincarnation, renaissance;Wiedergeburt (f.)
crisscross;wiederholt durchkreuzen
reunite, see again;wiedersehen
in turn, again;wiederum
reunite, reunify;wiedervereinigen
reelect;wiederwählen
weigh, rock;wiegen (wiegt, wog, gewogen)
meadow, grassland;Wiese (f., -n)
wild;wilde
wilderness;Wildnis (f.)
consciously, knowingly, with scienter;willentlich
willing, ready, docile;willig
arbitrary, capricious;willkürlich
swarm, teem with;wimmeln
pennant, streamer;Wimpel (m., --)
diaper;Windel (m., -n)
wind, reel, wring;winden (windet, wand, gewunden)
hint, cue, nod, suggestion;Wink (m.)
corner (n., math), angle, nook, elbow;Winkel (m., --)
dodge, trick, sleight of hand (n.);Winkelzug (m., ¨-e)
wave, signal, beckon;winken
whine, whimper;winseln
swirl, whirl, twirl;wirbeln
hurricane, tropical storm;Wirbelsturm (m., ¨-e)
effect, work, behave (v.);wirken
realistic;wirklichkeitsnah
effective, efficacious;wirksam
effectiveness;Wirkung (f.)
muddle-headed;wirrköpfig
confusion, muddle;Wirrwarr (n.)
host, landlord;Wirt (m., -e)
economy;Wirtschaft (f.)
economical;wirtschaftlich
wipe, mop, whisk, smear;wischen
know (fact);wissen (weiß, wußte, gewußt)
Do you know your way around here?;Wissen Sie hier Bescheid?
science;Wissenschaft (m., -en)
joke (n.);Witz (m., -e)
joker;Witzbold (m., -e)
quip;witzeln
welfare (as in well-being);Wohlergehen (n.)
welfare (as in state subsidy);Wohlfahrt (f.)
benefit, kindness;Wohltat (f., -en)
benefactor;Wohltäter (m., --)
well deserved, well earned;wohlverdient
benevolent;wohlwollend
place of residence, domicile;Wohnort (m., ¨-e)
arch, bend, tilt;wölben
cloud (n.);Wolke (f., -n)
want, intend;wollen (will, wollte, gewollt)
voluptuous, sensual;wollüstig
whereafter;wonach
lovely, sweet;wonnig
deficient in vocabulary;wortarm
faithless, disloyal;wortbrüchig
spokesman;Wortführer (m., --)
literal, verbatim;wortgetreu
taciturn, tight-lipped, silent, sparing of words;wortkarg
word for word;wörtlich
verbose, wordy;wortreich
vocabulary;Wortschatz (m., ¨-e)
tirade, torrent or stream of words;Wortschwall (m., ¨-e)
verbatim;wortwörtlich
wring, mangle;wringeln
sprawl (like plants), proliferate, spread, grow;wuchern
force, impact;Wucht (f.)
agitation, subversive activity;Wühlarbeit (f.)
nuzzle, grub, dig into;wühlen
sore, wounded;wund
Wonderful! Super!;Wunderbar! Super! 
wonder;wundern sich
dignified;würdevoll
dignified, worthy, deserving;würdig
suffocate, choke;würgen
root;Wurzel (f., -n)
desert, wilderness;Wüste (f., -n)
rage, fury, passion;Wut (f.)
timid, cautious;zaghaft
tough;zäh
count;zählen
countless;zahllos
numerous;zahlreich
insolvency;Zahlungsunfähigkeit (f.)
tame, domesticate, break in (as in a horse);zähmen
bicker, squabble, dispute, argue;zanken
fidgety;zappelig
fidget, wriggle, struggle;zappeln
tender, loving;zärtlich
conjure, conjure up;zaubern her
dither, procrastinate, tarry;zaudern
bridle (horse);Zaum (m., ¨-e)
fence, rail;Zaun (m., ¨-e)
reserved, silent, buttoned up;zegeknöpft
toe (n.);Zehe (f., -n)
tiptoe, tip of the toe (n.);Zehenspitze (f., -n)
sign, token, signal (n.);Zeichen (n., --)
punctuation;Zeichensetzung (f.)
animated cartoon;Zeichentrick (n.)
sketch, draw, underwrite, subscribe;zeichnen
accuse, blame;zeihen (zeiht, zieh, gesziehen)
line, row;Zeile (f., -n)
early, timely;zeitig
temporal, secular, transient;zeitlich
moment, point in time;Zeitpunkt (m., -e)
timeframe, period, era, epoch;Zeitraum (m., ¨-e)
magazine;Zeitschrift (f., -en)
newspaper column;Zeitungsspalte (f.)
sporadic, temporary, intermittent;zeitweilig
from time to time;zeitweise
tent;Zelt (n., -e)
tarpaulin, tarp;Zeltbahn (f., -en)
control room, operator;Zentralle (f., -n)
fragile, breakable;zerbrechlich
crumble;zerbröckeln
tear in or to pieces, tatter;zerfetzen
corrode, eat away, erode;zerfressen
rugged;zerklüftet
contrite;zerknirsch
deconstruct, analyze;zerlegen
ragged, tattered;zerlumpt
crush, bash;zermalmen
wear down, demoralize;zermürben
gnaw at;zernagen
tear up, rend, break;zerreißen
pull, tug;zerren
degenerate, decompose, disintegrate;zersetzen
rumple, crease, crumple;zersnittern
splinter, fragment, break apart;zersplittern
burst, snap, fly into pieces;zerspringen
destroy;zerstören
destructive;zerstörend
resolve, allay, dispel, disperse;zerstreuen
ruffle, tousle;zerzausen
list, slip of paper;Zettel (m., --)
file cabinet;Zettelkasten (m., ¨-)
witness, give evidence;zeugen
prim, prudent, silly;zickig
pull, tug, move;ziehen (zieht, zog, gezogen)
target, take aim at;zielen
target audience;Zielgruppe (f., -n)
target, butt;Zielscheibe (f., -n)
determined, single-minded;zielstrebig
quite;ziemlich
interest (commercial);Zinsen (pl.)
rate of interest;Zinssatz (m., ¨-e)
compass;Zirkel (m.)
circus, circuit, dog and pony show;Zirkus (m.)
whiz, hiss, sizzle;zischen
cite, quote;zitieren
tremble, shiver, quake;zittern
hesitate, tarry, falter;zögern
hesitate, tarry, delay;zögern
inch, toll, duty;Zoll (m., --)
wrath, anger, indignation;Zorn (m.)
shaggy, unkempt, straggly;zottelig
shaggy, ragged;zottig
to, at;zu
home;zu Hause
at someone's expense;zu Kosten der/des …
rear, grow, breed;züchten
twitch, jerk, convulse, wince, shrug;zucken
moreover, besides;zudem
coincidence;Zufall (m., ¨-e)
coincidentally, by chance;zufällig
random;zufallsbedingt
refuge, asylum;Zuflucht (f.)
as a result, in consequence of, reportedly;zufolge
satisfied;zufrieden
inflict, cause;zufügen
addition, extra, encore;Zugabe (f., -n)
entry, admittance;Zugang (m., ¨-e)
accessible;zugänglich
admit, confess, concede;zugeben
rein;Zügel (m., --)
unrestrained, licentious;zügellos
curb, bridle, check;zügeln
drafty, windy, efficient, speedy;zügig
at the same time;zugleich
to benefit someone;zugute kommen
listen to, attend to;zuhören
approach, come up to, reach;zukommen
future (n.);Zukunft (f.)
sufficient, adequate;zulänglich
tolerate, suffer, allow;zulassen
gain weight, gain;zulegen
at last;zuletzt
close down, shut down, close up (window);zumachen
above all, especially, particularly;zumal
attach, attribute, allot, measure out;zumessen
that is, at least, viz;zumindest
reasonable;zumutbar
first of all;zunächst
ignite, detonate;zünden
ignition;Zündung (f., -en)
increase, gain weight, wax;zunehmen
incline toward;zuneigen
company, corporation, guild;Zunft (f., ¨-e)
pull, tug at, pluck, pick;zupfen
to parade;zur Parade aufziehen
aside, sideward;zur Seite
at the same time;zur selben Zeit
stand by, be available;zur Verfügung stehen
place at one's disposal;zur Verfügung stellen
rightly, in order;zurecht
residual, remaining;zurückbleibend
trace back, attribute to;zurückführen
secluded, retired;zurückgezogen
privacy;Zurückgezogenheit (f.)
reserved;zurückhaltend
recede, draw back, shy away;zurückweichen
repulse, refuse, repudiate, reject;zurückweisen
cancel, retract, withdraw;zurückziehen
presently, currently;zurzeit
promise, consent, covenant, warranty (n.);Zusage (f., -n)
summarize;zusammenfassen
assemble, join together, merge;zusammenfügen
belong together, mate;zusammengehören
pick-up, spontaneous, thrown together;zusammengewürfelt
coherence, connection, context;Zusammenhang (m., ¨-e)
match up, mate;zusammenpassen
clap (hands), smash to pieces, beat s.o. up;zusammenschlagen
merge, integrate, join forces, combine;zusammenschließen
in addition;zusätzlich
onlooker, spectator, viewer;Zuschauer (m., --)
lock, close (with a key);zuschließen, abschließen
ascribable, attributable, imputable;zuschreibbar
accredit, attribute, impute;zuschreiben
lock up;zusperren
assign, grant, award;zusprechen
condition, state of affairs;Zustand (m., ¨-e)
competent, appropriate;zuständig
belong to, be owed to;zustehen
deliver, serve (as in writ or warrant);zustellen
delivery, notification;Zustellung (f., -en)
steer toward, aim for;zusteuern
agree to, consent to;zustimmen
allocate, allot, assign, apportion;zuteilen
apply;zutreffen
access, admittance, entrance;Zutritt (m.)
trustworthy, reliable, certain;zuverlässig
confidence;Zuversicht (f.)
confident;zuversichtlich
beforehand, afore, previously;zuvor
obliging, courteous;zuvorkommend
growth rate, rate of growth;Zuwachsrate (f., -n)
immigrate;zuwandern
sometimes, at times;zuweilen
wave to;zuwinken
squeeze;zwängen
preoccupied, obsessed, compulsive;zwanghaft
indeed, to be sure, certainly;zwar
purpose;Zweck (m., -e)
